text,text2,mood,energy
A heavy heart, burdened by immense grief and loss.,Sad,Very Low
My jaw is tight, ready to confront someone or something.,Angry,High
Taking a break, feeling nothing much at all.,Neutral,Low
Feeling jumpy and paranoid, always looking over my shoulder.,Anxious,High
Overflowing with happiness, can't contain this joy!,Happy,High
A quiet sadness has settled in, a gentle melancholy.,Sad,Low
Absolutely furious at the situation, utterly disgusted.,Angry,High
Just existing, no strong feelings one way or another.,Neutral,Low
My breath is short and shallow, feeling very panicky and stressed.,Anxious,High
Filled with immense joy and deep gratitude for everything.,Happy,High
Profoundly sad, can't stop the tears from falling.,Sad,Very Low
Utterly enraged by the betrayal and lies.,Angry,High
Doing mundane tasks, feeling completely indifferent.,Neutral,Medium
My mind is fixated on negative thoughts and worries.,Anxious,Medium
Feeling incredibly blessed and deeply content with life.,Happy,Medium
A sense of melancholic peace, accepting the sadness.,Sad,Low
Ready to burst with uncontrolled anger and frustration!,Angry,High
Just taking notes in a meeting, focused and attentive.,Neutral,Medium
Trembling with nerves, unable to control my shaking hands.,Anxious,High
Beaming from ear to ear, life feels like an absolute joy!,Happy,High
Lost in sorrow, unable to find my way back to happiness.,Sad,Very Low
My temper is soaring, reaching its absolute peak.,Angry,High
Listening to a podcast, simply passing the time peacefully.,Neutral,Low
A persistent feeling of unease in my gut, won't go away.,Anxious,Low
Dancing with joy, celebrating every little victory!,Happy,High
Feeling utterly desolate and completely heartbroken.,Sad,Very Low
Incensed by the disrespect shown, it's absolutely unacceptable.,Angry,High
Simply sitting, observing the world without judgment or emotion.,Neutral,Low
My heart is racing, filled with sheer terror and fear.,Anxious,High
Euphoric and absolutely thrilled beyond words!,Happy,High
A deep sense of emptiness inside, feeling hollow and vacant.,Sad,Very Low
My blood runs cold with a sudden surge of anger.,Angry,High
Reading a book, fully absorbed in the story's world.,Neutral,Medium
Feeling a low thrum of anxiety beneath the surface.,Anxious,Low
Giddy with delight, can't stop grinning and laughing!,Happy,High
A wave of melancholy washing over me, soft and sad.,Sad,Low
Fuming with indignation, my blood is boiling!,Angry,High
Just had a refreshing shower, feeling clean and renewed.,Neutral,Medium
My thoughts are racing, can't settle down to sleep.,Anxious,High
Radiating happiness, everything in life feels perfect!,Happy,High
Consuming sadness, cannot escape its grip.,Sad,Very Low
I'm so mad, I could just scream and break something!,Angry,High
Looking at the ceiling, thinking about absolutely nothing.,Neutral,Low
Feeling a constant tightness in my chest, heavy with worry.,Anxious,Medium
Filled with cheerfulness and boundless hope for the future.,Happy,Medium
Overwhelmed by sadness, struggling desperately to cope.,Sad,Very Low
Raging with fury, an uncontrollable burst of anger.,Angry,High
Doing some light stretching, feeling a bit more relaxed.,Neutral,Medium
My mind is replaying worries over and over again, a loop.,Anxious,High
Absolutely buzzing with excitement, can't contain it!,Happy,High
A quiet sadness that lingers in the background of my day.,Sad,Low
My jaw is clenched, ready for a heated confrontation.,Angry,High
Just sitting quietly, no particular mood or feeling.,Neutral,Low
Pacing nervously, unable to settle down or relax.,Anxious,High
Joyful and energetic, ready to tackle any challenge!,Happy,High
A profound sense of loneliness, feeling isolated.,Sad,Very Low
Burning with resentment, unable to forgive or forget.,Angry,Medium
Drinking a cup of tea, feeling calm and centered.,Neutral,Medium
Feeling very jumpy and constantly on edge.,Anxious,High
Bouncing off the walls, I have so much energy!,Happy,High
A deep, lingering sadness in my heart that won't fade.,Sad,Very Low
Fuming and muttering to myself in irritation.,Angry,Medium
Waiting for a call, feeling a mix of expectation and nerves.,Neutral,Medium
Every small sound makes me jump, constantly on high alert.,Anxious,High
Pure bliss, feeling absolutely wonderful and at peace.,Happy,High
The sorrow is overwhelming, I can't bear this pain.,Sad,Very Low
My voice is rising, feeling incredibly angry and loud.,Angry,High
Looking out the window, simply observing the world outside.,Neutral,Low
A sense of impending doom, can't shake this feeling.,Anxious,High
Feeling light as a feather, so much joy and lightness!,Happy,High
Wishing I could disappear, feeling so alone and invisible.,Sad,Very Low
Seeing red, absolutely enraged and ready to explode.,Angry,High
Just scrolling social media, mindlessly passing time.,Neutral,Low
My thoughts are spiraling, can't control them at all.,Anxious,High
Vibrant and alive, full of positive energy and excitement!,Happy,High
A heavy heart, burdened by immense grief and loss.,Sad,Very Low
My jaw is tight, ready to confront someone or something.,Angry,High
Taking a break, feeling nothing much at all.,Neutral,Low
Feeling jumpy and paranoid, always looking over my shoulder.,Anxious,High
Overflowing with happiness, can't contain this joy!,Happy,High
A quiet sadness has settled in, a gentle melancholy.,Sad,Low
Absolutely furious at the situation, utterly disgusted.,Angry,High
Just existing, no strong feelings one way or another.,Neutral,Low
My breath is short and shallow, feeling very panicky and stressed.,Anxious,High
Filled with immense joy and deep gratitude for everything.,Happy,High
Profoundly sad, can't stop the tears from falling.,Sad,Very Low
Utterly enraged by the betrayal and lies.,Angry,High
Doing mundane tasks, feeling completely indifferent.,Neutral,Medium
My mind is fixated on negative thoughts and worries.,Anxious,Medium
Feeling incredibly blessed and deeply content with life.,Happy,Medium
A sense of melancholic peace, accepting the sadness.,Sad,Low
Ready to burst with uncontrolled anger and frustration!,Angry,High
Just taking notes in a meeting, focused and attentive.,Neutral,Medium
Trembling with nerves, unable to control my shaking hands.,Anxious,High
Beaming from ear to ear, life feels like an absolute joy!,Happy,High
Lost in sorrow, unable to find my way back to happiness.,Sad,Very Low
My temper is soaring, reaching its absolute peak.,Angry,High
Listening to a podcast, simply passing the time peacefully.,Neutral,Low
A persistent feeling of unease in my gut, won't go away.,Anxious,Low
Dancing with joy, celebrating every little victory!,Happy,High
Feeling utterly desolate and completely heartbroken.,Sad,Very Low
Incensed by the disrespect shown, it's absolutely unacceptable.,Angry,High
Simply sitting, observing the world without judgment or emotion.,Neutral,Low
My heart is racing, filled with sheer terror and fear.,Anxious,High
Euphoric and absolutely thrilled beyond words!,Happy,High
A deep sense of emptiness inside, feeling hollow and vacant.,Sad,Very Low
My blood runs cold with a sudden surge of anger.,Angry,High
Reading a book, fully absorbed in the story's world.,Neutral,Medium
Feeling a low thrum of anxiety beneath the surface.,Anxious,Low
Giddy with delight, can't stop grinning and laughing!,Happy,High
A wave of melancholy washing over me, soft and sad.,Sad,Low
Fuming with indignation, my blood is boiling!,Angry,High
Just had a refreshing shower, feeling clean and renewed.,Neutral,Medium
My thoughts are racing, can't settle down to sleep.,Anxious,High
Radiating happiness, everything in life feels perfect!,Happy,High
Consuming sadness, cannot escape its grip.,Sad,Very Low
I'm so mad, I could just scream and break something!,Angry,High
Looking at the ceiling, thinking about absolutely nothing.,Neutral,Low
Feeling a constant tightness in my chest, heavy with worry.,Anxious,Medium
Filled with cheerfulness and boundless hope for the future.,Happy,Medium
Overwhelmed by sadness, struggling desperately to cope.,Sad,Very Low
Raging with fury, an uncontrollable burst of anger.,Angry,High
Doing some light stretching, feeling a bit more relaxed.,Neutral,Medium
My mind is replaying worries over and over again, a loop.,Anxious,High
Absolutely buzzing with excitement, can't contain it!,Happy,High
A quiet sadness that lingers in the background of my day.,Sad,Low
My jaw is clenched, ready for a heated confrontation.,Angry,High
Just sitting quietly, no particular mood or feeling.,Neutral,Low
Pacing nervously, unable to settle down or relax.,Anxious,High
Joyful and energetic, ready to tackle any challenge!,Happy,High
A profound sense of loneliness, feeling isolated.,Sad,Very Low
Burning with resentment, unable to forgive or forget.,Angry,Medium
Drinking a cup of tea, feeling calm and centered.,Neutral,Medium
Feeling very jumpy and constantly on edge.,Anxious,High
Bouncing off the walls, I have so much energy!,Happy,High
A deep, lingering sadness in my heart that won't fade.,Sad,Very Low
Fuming and muttering to myself in irritation.,Angry,Medium
Waiting for a call, feeling a mix of expectation and nerves.,Neutral,Medium
Every small sound makes me jump, constantly on high alert.,Anxious,High
Pure bliss, feeling absolutely wonderful and at peace.,Happy,High
The sorrow is overwhelming, I can't bear this pain.,Sad,Very Low
My voice is rising, feeling incredibly angry and loud.,Angry,High
Looking out the window, simply observing the world outside.,Neutral,Low
A sense of impending doom, can't shake this feeling.,Anxious,High
Feeling light as a feather, so much joy and lightness!,Happy,High
Wishing I could disappear, feeling so alone and invisible.,Sad,Very Low
Seeing red, absolutely enraged and ready to explode.,Angry,High
Just scrolling social media, mindlessly passing time.,Neutral,Low
My thoughts are spiraling, can't control them at all.,Anxious,High
Vibrant and alive, full of positive energy and excitement!,Happy,High
A heavy heart, burdened by immense grief and loss.,Sad,Very Low
My jaw is tight, ready to confront someone or something.,Angry,High
Taking a break, feeling nothing much at all.,Neutral,Low
Feeling jumpy and paranoid, always looking over my shoulder.,Anxious,High
Overflowing with happiness, can't contain this joy!,Happy,High
A quiet sadness has settled in, a gentle melancholy.,Sad,Low
Absolutely furious at the situation, utterly disgusted.,Angry,High
Just existing, no strong feelings one way or another.,Neutral,Low
My breath is short and shallow, feeling very panicky and stressed.,Anxious,High
Filled with immense joy and deep gratitude for everything.,Happy,High
Profoundly sad, can't stop the tears from falling.,Sad,Very Low
Utterly enraged by the betrayal and lies.,Angry,High
Doing mundane tasks, feeling completely indifferent.,Neutral,Medium
My mind is fixated on negative thoughts and worries.,Anxious,Medium
Feeling incredibly blessed and deeply content with life.,Happy,Medium
A sense of melancholic peace, accepting the sadness.,Sad,Low
Ready to burst with uncontrolled anger and frustration!,Angry,High
Just taking notes in a meeting, focused and attentive.,Neutral,Medium
Trembling with nerves, unable to control my shaking hands.,Anxious,High
Beaming from ear to ear, life feels like an absolute joy!,Happy,High
Lost in sorrow, unable to find my way back to happiness.,Sad,Very Low
My temper is soaring, reaching its absolute peak.,Angry,High
Listening to a podcast, simply passing the time peacefully.,Neutral,Low
A persistent feeling of unease in my gut, won't go away.,Anxious,Low
Dancing with joy, celebrating every little victory!,Happy,High
Feeling utterly desolate and completely heartbroken.,Sad,Very Low
Incensed by the disrespect shown, it's absolutely unacceptable.,Angry,High
Simply sitting, observing the world without judgment or emotion.,Neutral,Low
My heart is racing, filled with sheer terror and fear.,Anxious,High
Euphoric and absolutely thrilled beyond words!,Happy,High
A deep sense of emptiness inside, feeling hollow and vacant.,Sad,Very Low
My blood runs cold with a sudden surge of anger.,Angry,High
Reading a book, fully absorbed in the story's world.,Neutral,Medium
Feeling a low thrum of anxiety beneath the surface.,Anxious,Low
Giddy with delight, can't stop grinning and laughing!,Happy,High
A wave of melancholy washing over me, soft and sad.,Sad,Low
Fuming with indignation, my blood is boiling!,Angry,High
Just had a refreshing shower, feeling clean and renewed.,Neutral,Medium
My thoughts are racing, can't settle down to sleep.,Anxious,High
Radiating happiness, everything in life feels perfect!,Happy,High
Consuming sadness, cannot escape its grip.,Sad,Very Low
I'm so mad, I could just scream and break something!,Angry,High
Looking at the ceiling, thinking about absolutely nothing.,Neutral,Low
Feeling a constant tightness in my chest, heavy with worry.,Anxious,Medium
Filled with cheerfulness and boundless hope for the future.,Happy,Medium
Overwhelmed by sadness, struggling desperately to cope.,Sad,Very Low
Raging with fury, an uncontrollable burst of anger.,Angry,High
Doing some light stretching, feeling a bit more relaxed.,Neutral,Medium
My mind is replaying worries over and over again, a loop.,Anxious,High
Absolutely buzzing with excitement, can't contain it!,Happy,High
A quiet sadness that lingers in the background of my day.,Sad,Low
My jaw is clenched, ready for a heated confrontation.,Angry,High
Just sitting quietly, no particular mood or feeling.,Neutral,Low
Pacing nervously, unable to settle down or relax.,Anxious,High
Joyful and energetic, ready to tackle any challenge!,Happy,High
A profound sense of loneliness, feeling isolated.,Sad,Very Low
Burning with resentment, unable to forgive or forget.,Angry,Medium
Drinking a cup of tea, feeling calm and centered.,Neutral,Medium
Feeling very jumpy and constantly on edge.,Anxious,High
Bouncing off the walls, I have so much energy!,Happy,High
A deep, lingering sadness in my heart that won't fade.,Sad,Very Low
Fuming and muttering to myself in irritation.,Angry,Medium
Waiting for a call, feeling a mix of expectation and nerves.,Neutral,Medium
Every small sound makes me jump, constantly on high alert.,Anxious,High
Pure bliss, feeling absolutely wonderful and at peace.,Happy,High
The sorrow is overwhelming, I can't bear this pain.,Sad,Very Low
My voice is rising, feeling incredibly angry and loud.,Angry,High
Looking out the window, simply observing the world outside.,Neutral,Low
A sense of impending doom, can't shake this feeling.,Anxious,High
Feeling light as a feather, so much joy and lightness!,Happy,High
Wishing I could disappear, feeling so alone and invisible.,Sad,Very Low
Seeing red, absolutely enraged and ready to explode.,Angry,High
Just scrolling social media, mindlessly passing time.,Neutral,Low
My thoughts are spiraling, can't control them at all.,Anxious,High
Vibrant and alive, full of positive energy and excitement!,Happy,High
A heavy heart, burdened by immense grief and loss.,Sad,Very Low
My jaw is tight, ready to confront someone or something.,Angry,High
Taking a break, feeling nothing much at all.,Neutral,Low
Feeling jumpy and paranoid, always looking over my shoulder.,Anxious,High
Overflowing with happiness, can't contain this joy!,Happy,High
A quiet sadness has settled in, a gentle melancholy.,Sad,Low
Absolutely furious at the situation, utterly disgusted.,Angry,High
Just existing, no strong feelings one way or another.,Neutral,Low
My breath is short and shallow, feeling very panicky and stressed.,Anxious,High
Filled with immense joy and deep gratitude for everything.,Happy,High
Profoundly sad, can't stop the tears from falling.,Sad,Very Low
Utterly enraged by the betrayal and lies.,Angry,High
Doing mundane tasks, feeling completely indifferent.,Neutral,Medium
My mind is fixated on negative thoughts and worries.,Anxious,Medium
Feeling incredibly blessed and deeply content with life.,Happy,Medium
A sense of melancholic peace, accepting the sadness.,Sad,Low
Ready to burst with uncontrolled anger and frustration!,Angry,High
Just taking notes in a meeting, focused and attentive.,Neutral,Medium
Trembling with nerves, unable to control my shaking hands.,Anxious,High
Beaming from ear to ear, life feels like an absolute joy!,Happy,High
Lost in sorrow, unable to find my way back to happiness.,Sad,Very Low
My temper is soaring, reaching its absolute peak.,Angry,High
Listening to a podcast, simply passing the time peacefully.,Neutral,Low
A persistent feeling of unease in my gut, won't go away.,Anxious,Low
Dancing with joy, celebrating every little victory!,Happy,High
Feeling utterly desolate and completely heartbroken.,Sad,Very Low
Incensed by the disrespect shown, it's absolutely unacceptable.,Angry,High
Simply sitting, observing the world without judgment or emotion.,Neutral,Low
My heart is racing, filled with sheer terror and fear.,Anxious,High
Euphoric and absolutely thrilled beyond words!,Happy,High
A deep sense of emptiness inside, feeling hollow and vacant.,Sad,Very Low
My blood runs cold with a sudden surge of anger.,Angry,High
Reading a book, fully absorbed in the story's world.,Neutral,Medium
Feeling a low thrum of anxiety beneath the surface.,Anxious,Low
Giddy with delight, can't stop grinning and laughing!,Happy,High
A wave of melancholy washing over me, soft and sad.,Sad,Low
Fuming with indignation, my blood is boiling!,Angry,High
Just had a refreshing shower, feeling clean and renewed.,Neutral,Medium
My thoughts are racing, can't settle down to sleep.,Anxious,High
Radiating happiness, everything in life feels perfect!,Happy,High
Consuming sadness, cannot escape its grip.,Sad,Very Low
I'm so mad, I could just scream and break something!,Angry,High
Looking at the ceiling, thinking about absolutely nothing.,Neutral,Low
Feeling a constant tightness in my chest, heavy with worry.,Anxious,Medium
Filled with cheerfulness and boundless hope for the future.,Happy,Medium
Overwhelmed by sadness, struggling desperately to cope.,Sad,Very Low
Raging with fury, an uncontrollable burst of anger.,Angry,High
Doing some light stretching, feeling a bit more relaxed.,Neutral,Medium
My mind is replaying worries over and over again, a loop.,Anxious,High
Absolutely buzzing with excitement, can't contain it!,Happy,High
A quiet sadness that lingers in the background of my day.,Sad,Low
My jaw is clenched, ready for a heated confrontation.,Angry,High
Just sitting quietly, no particular mood or feeling.,Neutral,Low
Pacing nervously, unable to settle down or relax.,Anxious,High
Joyful and energetic, ready to tackle any challenge!,Happy,High
A profound sense of loneliness, feeling isolated.,Sad,Very Low
Burning with resentment, unable to forgive or forget.,Angry,Medium
Drinking a cup of tea, feeling calm and centered.,Neutral,Medium
Feeling very jumpy and constantly on edge.,Anxious,High
Bouncing off the walls, I have so much energy!,Happy,High
A deep, lingering sadness in my heart that won't fade.,Sad,Very Low
Fuming and muttering to myself in irritation.,Angry,Medium
Waiting for a call, feeling a mix of expectation and nerves.,Neutral,Medium
Every small sound makes me jump, constantly on high alert.,Anxious,High
Pure bliss, feeling absolutely wonderful and at peace.,Happy,High
The sorrow is overwhelming, I can't bear this pain.,Sad,Very Low
My voice is rising, feeling incredibly angry and loud.,Angry,High
Looking out the window, simply observing the world outside.,Neutral,Low
A sense of impending doom, can't shake this feeling.,Anxious,High
Feeling light as a feather, so much joy and lightness!,Happy,High
Wishing I could disappear, feeling so alone and invisible.,Sad,Very Low
Seeing red, absolutely enraged and ready to explode.,Angry,High
Just scrolling social media, mindlessly passing time.,Neutral,Low
My thoughts are spiraling, can't control them at all.,Anxious,High
Vibrant and alive, full of positive energy and excitement!,Happy,High
A heavy heart, burdened by immense grief and loss.,Sad,Very Low
My jaw is tight, ready to confront someone or something.,Angry,High
Taking a break, feeling nothing much at all.,Neutral,Low
Feeling jumpy and paranoid, always looking over my shoulder.,Anxious,High
Overflowing with happiness, can't contain this joy!,Happy,High
A quiet sadness has settled in, a gentle melancholy.,Sad,Low
Absolutely furious at the situation, utterly disgusted.,Angry,High
Just existing, no strong feelings one way or another.,Neutral,Low
My breath is short and shallow, feeling very panicky and stressed.,Anxious,High
Filled with immense joy and deep gratitude for everything.,Happy,High
Profoundly sad, can't stop the tears from falling.,Sad,Very Low
Utterly enraged by the betrayal and lies.,Angry,High
Doing mundane tasks, feeling completely indifferent.,Neutral,Medium
My mind is fixated on negative thoughts and worries.,Anxious,Medium
Feeling incredibly blessed and deeply content with life.,Happy,Medium
A sense of melancholic peace, accepting the sadness.,Sad,Low
Ready to burst with uncontrolled anger and frustration!,Angry,High
Just taking notes in a meeting, focused and attentive.,Neutral,Medium
Trembling with nerves, unable to control my shaking hands.,Anxious,High
Beaming from ear to ear, life feels like an absolute joy!,Happy,High
Lost in sorrow, unable to find my way back to happiness.,Sad,Very Low
My temper is soaring, reaching its absolute peak.,Angry,High
Listening to a podcast, simply passing the time peacefully.,Neutral,Low
A persistent feeling of unease in my gut, won't go away.,Anxious,Low
Dancing with joy, celebrating every little victory!,Happy,High
Feeling utterly desolate and completely heartbroken.,Sad,Very Low
Incensed by the disrespect shown, it's absolutely unacceptable.,Angry,High
Simply sitting, observing the world without judgment or emotion.,Neutral,Low
My heart is racing, filled with sheer terror and fear.,Anxious,High
Euphoric and absolutely thrilled beyond words!,Happy,High
A deep sense of emptiness inside, feeling hollow and vacant.,Sad,Very Low
My blood runs cold with a sudden surge of anger.,Angry,High
Reading a book, fully absorbed in the story's world.,Neutral,Medium
Feeling a low thrum of anxiety beneath the surface.,Anxious,Low
Giddy with delight, can't stop grinning and laughing!,Happy,High
A wave of melancholy washing over me, soft and sad.,Sad,Low
Fuming with indignation, my blood is boiling!,Angry,High
Just had a refreshing shower, feeling clean and renewed.,Neutral,Medium
My thoughts are racing, can't settle down to sleep.,Anxious,High
Radiating happiness, everything in life feels perfect!,Happy,High
Consuming sadness, cannot escape its grip.,Sad,Very Low
I'm so mad, I could just scream and break something!,Angry,High
Looking at the ceiling, thinking about absolutely nothing.,Neutral,Low
Feeling a constant tightness in my chest, heavy with worry.,Anxious,Medium
Filled with cheerfulness and boundless hope for the future.,Happy,Medium
Overwhelmed by sadness, struggling desperately to cope.,Sad,Very Low
Raging with fury, an uncontrollable burst of anger.,Angry,High
Doing some light stretching, feeling a bit more relaxed.,Neutral,Medium
My mind is replaying worries over and over again, a loop.,Anxious,High
Absolutely buzzing with excitement, can't contain it!,Happy,High
A quiet sadness that lingers in the background of my day.,Sad,Low
My jaw is clenched, ready for a heated confrontation.,Angry,High
Just sitting quietly, no particular mood or feeling.,Neutral,Low
Pacing nervously, unable to settle down or relax.,Anxious,High
Joyful and energetic, ready to tackle any challenge!,Happy,High
A profound sense of loneliness, feeling isolated.,Sad,Very Low
Burning with resentment, unable to forgive or forget.,Angry,Medium
Drinking a cup of tea, feeling calm and centered.,Neutral,Medium
Feeling very jumpy and constantly on edge.,Anxious,High
Bouncing off the walls, I have so much energy!,Happy,High
A deep, lingering sadness in my heart that won't fade.,Sad,Very Low
Fuming and muttering to myself in irritation.,Angry,Medium
Waiting for a call, feeling a mix of expectation and nerves.,Neutral,Medium
Every small sound makes me jump, constantly on high alert.,Anxious,High
Pure bliss, feeling absolutely wonderful and at peace.,Happy,High
The sorrow is overwhelming, I can't bear this pain.,Sad,Very Low
My voice is rising, feeling incredibly angry and loud.,Angry,High
Looking out the window, simply observing the world outside.,Neutral,Low
A sense of impending doom, can't shake this feeling.,Anxious,High
Feeling light as a feather, so much joy and lightness!,Happy,High
Wishing I could disappear, feeling so alone and invisible.,Sad,Very Low
Seeing red, absolutely enraged and ready to explode.,Angry,High
Just scrolling social media, mindlessly passing time.,Neutral,Low
My thoughts are spiraling, can't control them at all.,Anxious,High
Vibrant and alive, full of positive energy and excitement!,Happy,High
A heavy heart, burdened by immense grief and loss.,Sad,Very Low
My jaw is tight, ready to confront someone or something.,Angry,High
Taking a break, feeling nothing much at all.,Neutral,Low
Feeling jumpy and paranoid, always looking over my shoulder.,Anxious,High
Overflowing with happiness, can't contain this joy!,Happy,High
A quiet sadness has settled in, a gentle melancholy.,Sad,Low
Absolutely furious at the situation, utterly disgusted.,Angry,High
Just existing, no strong feelings one way or another.,Neutral,Low
My breath is short and shallow, feeling very panicky and stressed.,Anxious,High
Filled with immense joy and deep gratitude for everything.,Happy,High
Profoundly sad, can't stop the tears from falling.,Sad,Very Low
Utterly enraged by the betrayal and lies.,Angry,High
Doing mundane tasks, feeling completely indifferent.,Neutral,Medium
My mind is fixated on negative thoughts and worries.,Anxious,Medium
Feeling incredibly blessed and deeply content with life.,Happy,Medium
A sense of melancholic peace, accepting the sadness.,Sad,Low
Ready to burst with uncontrolled anger and frustration!,Angry,High
Just taking notes in a meeting, focused and attentive.,Neutral,Medium
Trembling with nerves, unable to control my shaking hands.,Anxious,High
Beaming from ear to ear, life feels like an absolute joy!,Happy,High
Lost in sorrow, unable to find my way back to happiness.,Sad,Very Low
My temper is soaring, reaching its absolute peak.,Angry,High
Listening to a podcast, simply passing the time peacefully.,Neutral,Low
A persistent feeling of unease in my gut, won't go away.,Anxious,Low
Dancing with joy, celebrating every little victory!,Happy,High
Feeling utterly desolate and completely heartbroken.,Sad,Very Low
Incensed by the disrespect shown, it's absolutely unacceptable.,Angry,High
Simply sitting, observing the world without judgment or emotion.,Neutral,Low
My heart is racing, filled with sheer terror and fear.,Anxious,High
Euphoric and absolutely thrilled beyond words!,Happy,High
A deep sense of emptiness inside, feeling hollow and vacant.,Sad,Very Low
My blood runs cold with a sudden surge of anger.,Angry,High
Reading a book, fully absorbed in the story's world.,Neutral,Medium
Feeling a low thrum of anxiety beneath the surface.,Anxious,Low
Giddy with delight, can't stop grinning and laughing!,Happy,High
A wave of melancholy washing over me, soft and sad.,Sad,Low
Fuming with indignation, my blood is boiling!,Angry,High
Just had a refreshing shower, feeling clean and renewed.,Neutral,Medium
My thoughts are racing, can't settle down to sleep.,Anxious,High
Radiating happiness, everything in life feels perfect!,Happy,High
Consuming sadness, cannot escape its grip.,Sad,Very Low
I'm so mad, I could just scream and break something!,Angry,High
Looking at the ceiling, thinking about absolutely nothing.,Neutral,Low
Feeling a constant tightness in my chest, heavy with worry.,Anxious,Medium
Filled with cheerfulness and boundless hope for the future.,Happy,Medium
Overwhelmed by sadness, struggling desperately to cope.,Sad,Very Low
Raging with fury, an uncontrollable burst of anger.,Angry,High
Doing some light stretching, feeling a bit more relaxed.,Neutral,Medium
My mind is replaying worries over and over again, a loop.,Anxious,High
Absolutely buzzing with excitement, can't contain it!,Happy,High
A quiet sadness that lingers in the background of my day.,Sad,Low
My jaw is clenched, ready for a heated confrontation.,Angry,High
Just sitting quietly, no particular mood or feeling.,Neutral,Low
Pacing nervously, unable to settle down or relax.,Anxious,High
Joyful and energetic, ready to tackle any challenge!,Happy,High
A profound sense of loneliness, feeling isolated.,Sad,Very Low
Burning with resentment, unable to forgive or forget.,Angry,Medium
Drinking a cup of tea, feeling calm and centered.,Neutral,Medium
Feeling very jumpy and constantly on edge.,Anxious,High
